Airport_Code,Airport_Name,Late_Aircraft,Delays_NAS,Delays_Security,Delays_Weather,Flights_Cancelled,Flights_Delayed,Flights_Diverted,Flights_OnTime
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1275,3217,17,328,216,5843,27,23974
BOS,"Boston, MA: Logan International",495,685,3,66,138,1623,3,7875
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",477,389,8,78,29,1245,15,6998
CLT,"Charlotte, NC: Charlotte Douglas International",472,735,2,54,73,1562,14,7021
DCA,"Washington, DC: Ronald Reagan Washington National",268,487,4,58,74,1100,18,5321
DEN,"Denver, CO: Denver International",323,664,11,98,34,1611,22,10024
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1390,2147,19,258,394,4798,133,22303
DTW,"Detroit, MI: Detroit Metro Wayne County",371,570,6,71,123,1395,9,10227
EWR,"Newark, NJ: Newark Liberty International",519,1948,10,121,102,2921,42,9441
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",256,427,5,34,13,967,10,3672
IAD,"Washington, DC: Washington Dulles International",295,573,3,66,101,1256,35,7027
IAH,"Houston, TX: George Bush Intercontinental/Houston",730,1405,15,123,91,2601,173,12686
JFK,"New York, NY: John F. Kennedy International",226,394,21,28,24,1046,13,4695
LAS,"Las Vegas, NV: McCarran International",678,624,17,64,39,1893,6,9821
LAX,"Los Angeles, CA: Los Angeles International",765,842,37,97,101,2571,10,15780
LGA,"New York, NY: LaGuardia",338,867,4,94,121,1604,22,7161
MCO,"Orlando, FL: Orlando International",434,535,3,48,9,1388,9,6211
MDW,"Chicago, IL: Chicago Midway International",411,311,12,39,47,951,6,6057
MIA,"Miami, FL: Miami International",210,585,2,66,28,1105,22,3745
MSP,"Minneapolis, MN: Minneapolis-St Paul International",376,759,9,106,101,1678,11,10404
ORD,"Chicago, IL: Chicago O'Hare International",982,2947,11,157,261,4899,38,24997
PDX,"Portland, OR: Portland International",248,213,11,22,17,684,5,4040
PHL,"Philadelphia, PA: Philadelphia International",565,1083,1,64,83,2049,20,6917
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",569,664,19,41,57,1783,10,12158
SAN,"San Diego, CA: San Diego International",349,341,8,30,20,1052,4,5775
SEA,"Seattle, WA: Seattle/Tacoma International",552,454,28,36,63,1516,9,7658
SFO,"San Francisco, CA: San Francisco International",312,1080,14,59,83,1880,9,8211
SLC,"Salt Lake City, UT: Salt Lake City International",290,352,15,36,34,1057,0,9491
TPA,"Tampa, FL: Tampa International",327,524,3,42,12,1122,11,4256
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1791,4022,13,367,484,7452,71,22868
BOS,"Boston, MA: Logan International",587,609,0,61,226,1710,3,8033
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",646,544,4,102,57,1679,20,6855
CLT,"Charlotte, NC: Charlotte Douglas International",542,945,0,74,163,1895,24,6883
DCA,"Washington, DC: Ronald Reagan Washington National",270,573,3,74,181,1260,13,5241
DEN,"Denver, CO: Denver International",434,646,2,111,71,1753,9,10869
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1443,2081,18,244,274,5003,64,22982
DTW,"Detroit, MI: Detroit Metro Wayne County",448,816,4,145,175,1891,22,10104
EWR,"Newark, NJ: Newark Liberty International",706,1665,11,125,285,2917,59,9797
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",328,412,6,35,19,1041,1,3785
IAD,"Washington, DC: Washington Dulles International",406,671,10,84,217,1567,14,6990
IAH,"Houston, TX: George Bush Intercontinental/Houston",960,1506,9,115,90,3031,77,13269
JFK,"New York, NY: John F. Kennedy International",231,455,12,39,32,1082,24,5067
LAS,"Las Vegas, NV: McCarran International",760,570,8,99,73,1998,52,10083
LAX,"Los Angeles, CA: Los Angeles International",807,557,12,141,145,2380,10,16760
LGA,"New York, NY: LaGuardia",434,1060,0,105,285,1934,63,7012
MCO,"Orlando, FL: Orlando International",519,797,3,63,19,1834,10,6163
MDW,"Chicago, IL: Chicago Midway International",559,637,14,86,62,1531,51,5655
MIA,"Miami, FL: Miami International",268,588,4,41,44,1216,17,3849
MSP,"Minneapolis, MN: Minneapolis-St Paul International",428,860,6,108,141,1930,13,10766
ORD,"Chicago, IL: Chicago O'Hare International",1728,4305,8,258,1258,7259,135,22693
PDX,"Portland, OR: Portland International",332,126,7,26,25,716,2,4273
PHL,"Philadelphia, PA: Philadelphia International",634,1130,1,93,198,2257,21,6876
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",743,498,8,66,96,1909,27,12378
SAN,"San Diego, CA: San Diego International",386,340,3,44,34,1155,14,5974
SEA,"Seattle, WA: Seattle/Tacoma International",637,421,26,67,82,1654,5,8251
SFO,"San Francisco, CA: San Francisco International",365,539,10,76,79,1464,8,9192
SLC,"Salt Lake City, UT: Salt Lake City International",284,330,9,65,58,1093,11,9782
TPA,"Tampa, FL: Tampa International",395,445,3,44,18,1135,9,4452
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1766,4475,9,361,364,7829,56,23056
BOS,"Boston, MA: Logan International",698,978,0,100,292,2256,15,7370
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",668,734,6,127,66,1931,41,6598
CLT,"Charlotte, NC: Charlotte Douglas International",511,928,1,90,189,1882,36,6841
DCA,"Washington, DC: Ronald Reagan Washington National",327,795,3,89,262,1554,41,4886
DEN,"Denver, CO: Denver International",362,560,3,111,79,1582,9,11122
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1350,2138,17,269,466,4951,169,22370
DTW,"Detroit, MI: Detroit Metro Wayne County",442,1034,6,155,412,2096,52,9620
EWR,"Newark, NJ: Newark Liberty International",713,2528,7,144,431,3881,111,8599
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",396,489,9,46,36,1220,14,3555
IAD,"Washington, DC: Washington Dulles International",447,849,9,129,190,1813,40,6715
IAH,"Houston, TX: George Bush Intercontinental/Houston",587,1132,5,144,104,2291,68,13522
JFK,"New York, NY: John F. Kennedy International",380,856,15,64,205,1717,66,4239
LAS,"Las Vegas, NV: McCarran International",747,480,7,75,70,1884,10,10293
LAX,"Los Angeles, CA: Los Angeles International",761,622,11,139,141,2333,9,16770
LGA,"New York, NY: LaGuardia",500,1421,1,125,597,2465,82,6158
MCO,"Orlando, FL: Orlando International",584,757,6,82,48,1878,30,6032
MDW,"Chicago, IL: Chicago Midway International",446,414,15,72,77,1152,13,6035
MIA,"Miami, FL: Miami International",314,696,10,70,97,1385,13,3663
MSP,"Minneapolis, MN: Minneapolis-St Paul International",438,639,9,104,182,1724,6,10975
ORD,"Chicago, IL: Chicago O'Hare International",1512,3461,12,237,941,6236,138,23806
PDX,"Portland, OR: Portland International",336,128,5,29,26,693,4,4249
PHL,"Philadelphia, PA: Philadelphia International",695,1317,0,132,242,2590,31,6527
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",719,509,20,87,117,1942,14,12284
SAN,"San Diego, CA: San Diego International",382,256,2,48,27,1062,5,6105
SEA,"Seattle, WA: Seattle/Tacoma International",730,364,24,57,113,1661,12,8229
SFO,"San Francisco, CA: San Francisco International",385,869,10,94,96,1876,5,8755
SLC,"Salt Lake City, UT: Salt Lake City International",326,381,15,112,74,1271,28,9626
TPA,"Tampa, FL: Tampa International",350,450,2,61,37,1129,19,4317
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",807,2267,4,161,359,3936,33,26049
BOS,"Boston, MA: Logan International",413,675,1,23,257,1398,13,7860
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",289,358,2,41,205,930,43,7031
CLT,"Charlotte, NC: Charlotte Douglas International",271,475,0,14,145,929,1,7399
DCA,"Washington, DC: Ronald Reagan Washington National",161,470,1,28,354,894,29,5230
DEN,"Denver, CO: Denver International",204,336,3,41,50,900,6,11120
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",751,1027,2,125,571,2562,97,23815
DTW,"Detroit, MI: Detroit Metro Wayne County",236,562,1,52,144,1147,13,10032
EWR,"Newark, NJ: Newark Liberty International",483,3818,2,147,596,4699,14,6880
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",164,385,1,9,35,701,3,3884
IAD,"Washington, DC: Washington Dulles International",241,470,1,29,320,966,20,7113
IAH,"Houston, TX: George Bush Intercontinental/Houston",498,1094,5,71,107,1958,57,13010
JFK,"New York, NY: John F. Kennedy International",159,473,3,19,34,896,13,4868
LAS,"Las Vegas, NV: McCarran International",445,370,2,18,68,1207,2,10628
LAX,"Los Angeles, CA: Los Angeles International",416,479,6,53,171,1496,9,16520
LGA,"New York, NY: LaGuardia",283,1099,0,77,341,1684,11,6735
MCO,"Orlando, FL: Orlando International",250,371,1,19,63,857,9,6219
MDW,"Chicago, IL: Chicago Midway International",259,224,2,15,70,632,9,6509
MIA,"Miami, FL: Miami International",125,479,0,25,67,784,10,3871
MSP,"Minneapolis, MN: Minneapolis-St Paul International",228,755,3,90,117,1390,13,10023
ORD,"Chicago, IL: Chicago O'Hare International",892,3323,4,99,433,4889,31,24285
PDX,"Portland, OR: Portland International",142,144,2,6,44,428,1,4144
PHL,"Philadelphia, PA: Philadelphia International",361,1198,0,40,206,1806,33,6902
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",404,347,2,15,146,1138,8,12372
SAN,"San Diego, CA: San Diego International",161,177,1,19,48,584,6,6250
SEA,"Seattle, WA: Seattle/Tacoma International",308,352,3,18,86,972,16,7712
SFO,"San Francisco, CA: San Francisco International",233,765,6,27,65,1371,3,8468
SLC,"Salt Lake City, UT: Salt Lake City International",171,260,6,23,54,730,0,9769
TPA,"Tampa, FL: Tampa International",197,283,-1,11,34,629,0,4535
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",906,3355,4,170,189,5188,12,26398
BOS,"Boston, MA: Logan International",382,539,4,13,124,1284,9,8543
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",412,334,6,18,42,1050,13,7513
CLT,"Charlotte, NC: Charlotte Douglas International",239,420,1,8,54,850,2,8210
DCA,"Washington, DC: Ronald Reagan Washington National",172,374,2,18,57,790,39,6078
DEN,"Denver, CO: Denver International",296,419,8,24,91,1197,6,11348
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",635,892,11,79,200,2314,11,25757
DTW,"Detroit, MI: Detroit Metro Wayne County",243,600,5,21,64,1161,5,10817
EWR,"Newark, NJ: Newark Liberty International",324,1710,6,54,135,2387,15,10622
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",177,192,5,5,5,533,5,4522
IAD,"Washington, DC: Washington Dulles International",309,510,7,67,125,1171,15,7412
IAH,"Houston, TX: George Bush Intercontinental/Houston",351,964,10,42,51,1656,36,14214
JFK,"New York, NY: John F. Kennedy International",156,373,7,16,28,755,6,5335
LAS,"Las Vegas, NV: McCarran International",573,800,9,32,135,1841,17,10594
LAX,"Los Angeles, CA: Los Angeles International",578,1112,12,150,581,2463,78,15851
LGA,"New York, NY: LaGuardia",260,808,2,27,124,1375,6,7814
MCO,"Orlando, FL: Orlando International",249,298,1,4,17,816,6,6985
MDW,"Chicago, IL: Chicago Midway International",336,361,5,14,45,869,3,6748
MIA,"Miami, FL: Miami International",118,288,0,19,34,603,14,4297
MSP,"Minneapolis, MN: Minneapolis-St Paul International",202,819,8,22,53,1412,7,10626
ORD,"Chicago, IL: Chicago O'Hare International",896,2951,9,38,324,4564,16,26086
PDX,"Portland, OR: Portland International",245,255,3,4,45,656,3,4045
PHL,"Philadelphia, PA: Philadelphia International",312,890,2,16,80,1475,9,7675
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",566,530,11,19,187,1577,10,12481
SAN,"San Diego, CA: San Diego International",280,324,7,44,189,892,82,6043
SEA,"Seattle, WA: Seattle/Tacoma International",425,898,2,19,113,1707,14,7087
SFO,"San Francisco, CA: San Francisco International",285,757,7,32,102,1456,10,8804
SLC,"Salt Lake City, UT: Salt Lake City International",216,325,7,34,61,907,3,9670
TPA,"Tampa, FL: Tampa International",210,201,3,5,9,596,0,4940
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",888,2773,6,155,263,4609,21,25220
BOS,"Boston, MA: Logan International",414,418,0,22,156,1168,6,7920
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",408,380,2,20,40,1102,17,6905
CLT,"Charlotte, NC: Charlotte Douglas International",314,397,0,12,77,927,3,7689
DCA,"Washington, DC: Ronald Reagan Washington National",289,387,2,21,91,929,22,5495
DEN,"Denver, CO: Denver International",387,822,9,91,102,1990,5,9742
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1028,1632,9,167,373,3662,61,23809
DTW,"Detroit, MI: Detroit Metro Wayne County",348,670,2,87,114,1460,9,9791
EWR,"Newark, NJ: Newark Liberty International",567,2278,3,175,307,3274,40,8796
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",261,288,5,17,9,756,2,4319
IAD,"Washington, DC: Washington Dulles International",363,578,1,38,136,1229,59,6776
IAH,"Houston, TX: George Bush Intercontinental/Houston",562,1629,9,71,157,2674,94,12697
JFK,"New York, NY: John F. Kennedy International",163,301,8,33,31,718,24,5233
LAS,"Las Vegas, NV: McCarran International",739,1541,6,50,78,2813,6,9211
LAX,"Los Angeles, CA: Los Angeles International",703,1746,11,66,232,3295,39,14701
LGA,"New York, NY: LaGuardia",381,1363,0,99,261,2121,16,6480
MCO,"Orlando, FL: Orlando International",336,360,3,21,16,1005,7,6705
MDW,"Chicago, IL: Chicago Midway International",393,664,4,87,110,1314,55,5727
MIA,"Miami, FL: Miami International",165,370,3,22,22,747,7,4452
MSP,"Minneapolis, MN: Minneapolis-St Paul International",455,1232,4,106,164,2201,11,8988
ORD,"Chicago, IL: Chicago O'Hare International",1778,9066,6,202,1403,11857,77,17869
PDX,"Portland, OR: Portland International",273,296,3,25,32,799,7,3620
PHL,"Philadelphia, PA: Philadelphia International",390,1027,0,54,125,1692,17,6875
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",652,1108,6,34,123,2294,9,11153
SAN,"San Diego, CA: San Diego International",376,564,2,19,55,1281,11,5438
SEA,"Seattle, WA: Seattle/Tacoma International",568,819,7,38,74,1813,21,6250
SFO,"San Francisco, CA: San Francisco International",384,1735,1,45,111,2640,12,7205
SLC,"Salt Lake City, UT: Salt Lake City International",388,726,23,69,105,1637,6,8454
TPA,"Tampa, FL: Tampa International",275,259,1,18,12,757,6,4647
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1408,4277,24,271,630,7284,12,23508
BOS,"Boston, MA: Logan International",655,1065,2,60,820,2216,29,6539
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",638,568,7,40,125,1652,15,6756
CLT,"Charlotte, NC: Charlotte Douglas International",523,540,2,25,134,1407,1,7468
DCA,"Washington, DC: Ronald Reagan Washington National",367,485,4,41,245,1223,4,5158
DEN,"Denver, CO: Denver International",516,629,10,102,110,2227,3,10319
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1218,1975,24,221,370,4485,30,24484
DTW,"Detroit, MI: Detroit Metro Wayne County",510,996,9,66,226,2085,7,9396
EWR,"Newark, NJ: Newark Liberty International",736,2538,15,125,843,3870,29,8233
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",341,560,16,27,57,1283,4,4050
IAD,"Washington, DC: Washington Dulles International",481,595,2,47,269,1519,10,6789
IAH,"Houston, TX: George Bush Intercontinental/Houston",718,1483,31,66,90,2819,62,13841
JFK,"New York, NY: John F. Kennedy International",401,587,13,33,230,1421,14,4836
LAS,"Las Vegas, NV: McCarran International",1001,863,10,85,104,2603,17,9709
LAX,"Los Angeles, CA: Los Angeles International",1065,1145,22,164,283,3619,17,15533
LGA,"New York, NY: LaGuardia",599,1696,3,89,689,2767,57,5548
MCO,"Orlando, FL: Orlando International",516,577,11,47,80,1614,10,6426
MDW,"Chicago, IL: Chicago Midway International",506,522,12,31,115,1300,7,6050
MIA,"Miami, FL: Miami International",259,575,13,72,54,1283,7,4164
MSP,"Minneapolis, MN: Minneapolis-St Paul International",528,1321,24,76,200,2530,9,9291
ORD,"Chicago, IL: Chicago O'Hare International",2311,8292,11,254,1034,12012,12,19638
PDX,"Portland, OR: Portland International",405,338,5,38,39,1096,10,3593
PHL,"Philadelphia, PA: Philadelphia International",576,1211,2,49,263,2215,19,6582
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",791,673,12,68,157,2272,9,11729
SAN,"San Diego, CA: San Diego International",500,484,5,68,88,1549,29,5482
SEA,"Seattle, WA: Seattle/Tacoma International",726,640,8,53,82,1980,13,6616
SFO,"San Francisco, CA: San Francisco International",562,2186,13,102,208,3474,12,6951
SLC,"Salt Lake City, UT: Salt Lake City International",578,868,21,282,401,2594,23,7791
TPA,"Tampa, FL: Tampa International",387,379,3,24,59,1119,3,4587
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1265,4567,15,599,805,7749,18,25766
BOS,"Boston, MA: Logan International",699,642,2,85,468,1879,3,7783
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",611,487,3,60,206,1532,19,6875
CLT,"Charlotte, NC: Charlotte Douglas International",498,564,0,47,221,1412,16,7450
DCA,"Washington, DC: Ronald Reagan Washington National",343,490,1,76,336,1269,10,5916
DEN,"Denver, CO: Denver International",638,930,14,171,226,2603,8,9882
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1439,2752,17,413,572,5696,73,22974
DTW,"Detroit, MI: Detroit Metro Wayne County",542,1272,19,103,341,2566,11,8982
EWR,"Newark, NJ: Newark Liberty International",642,1729,3,120,548,2930,13,9260
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",376,544,6,59,27,1340,7,4044
IAD,"Washington, DC: Washington Dulles International",505,378,2,72,279,1411,6,6937
IAH,"Houston, TX: George Bush Intercontinental/Houston",637,1416,16,103,113,2638,16,13494
JFK,"New York, NY: John F. Kennedy International",501,600,10,60,128,1602,20,5076
LAS,"Las Vegas, NV: McCarran International",908,965,14,78,177,2614,6,9972
LAX,"Los Angeles, CA: Los Angeles International",900,1232,18,183,359,3272,22,15595
LGA,"New York, NY: LaGuardia",568,1482,4,213,588,2710,5,7223
MCO,"Orlando, FL: Orlando International",518,663,11,87,49,1781,3,6673
MDW,"Chicago, IL: Chicago Midway International",560,802,8,83,225,1681,61,5630
MIA,"Miami, FL: Miami International",285,593,0,117,70,1339,4,4199
MSP,"Minneapolis, MN: Minneapolis-St Paul International",583,1504,16,117,274,2804,9,9113
ORD,"Chicago, IL: Chicago O'Hare International",2501,8999,9,318,2652,13072,52,16939
PDX,"Portland, OR: Portland International",315,319,11,47,531,961,34,3147
PHL,"Philadelphia, PA: Philadelphia International",601,927,0,63,287,1966,17,6932
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",786,820,22,89,283,2414,12,11563
SAN,"San Diego, CA: San Diego International",419,359,8,49,102,1242,6,5826
SEA,"Seattle, WA: Seattle/Tacoma International",722,812,19,104,335,2211,37,6003
SFO,"San Francisco, CA: San Francisco International",553,1992,16,113,283,3314,19,7130
SLC,"Salt Lake City, UT: Salt Lake City International",593,1157,35,301,366,3234,12,7658
TPA,"Tampa, FL: Tampa International",399,375,3,40,35,1097,4,4671
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1579,7959,13,787,921,11538,30,19883
BOS,"Boston, MA: Logan International",484,606,3,61,164,1509,6,8217
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",543,362,8,44,60,1293,8,6855
CLT,"Charlotte, NC: Charlotte Douglas International",422,561,0,29,167,1244,9,7075
DCA,"Washington, DC: Ronald Reagan Washington National",265,384,0,65,123,1019,5,6160
DEN,"Denver, CO: Denver International",467,605,5,97,114,1766,6,10032
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1437,2664,4,306,505,5318,97,21148
DTW,"Detroit, MI: Detroit Metro Wayne County",414,790,8,64,204,1677,4,9578
EWR,"Newark, NJ: Newark Liberty International",555,1613,10,62,198,2561,8,9586
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",418,652,3,39,12,1446,10,4031
IAD,"Washington, DC: Washington Dulles International",444,295,0,17,175,963,3,6897
IAH,"Houston, TX: George Bush Intercontinental/Houston",680,2089,12,73,68,3270,17,12295
JFK,"New York, NY: John F. Kennedy International",288,465,9,43,45,1105,3,5416
LAS,"Las Vegas, NV: McCarran International",921,1189,8,159,135,2839,23,9290
LAX,"Los Angeles, CA: Los Angeles International",884,866,13,96,253,2672,22,14963
LGA,"New York, NY: LaGuardia",496,976,3,116,238,1934,13,7868
MCO,"Orlando, FL: Orlando International",492,768,7,59,24,1826,11,6477
MDW,"Chicago, IL: Chicago Midway International",470,443,12,30,130,1167,14,5930
MIA,"Miami, FL: Miami International",261,565,4,54,26,1233,5,4092
MSP,"Minneapolis, MN: Minneapolis-St Paul International",527,1543,14,84,225,2660,19,8841
ORD,"Chicago, IL: Chicago O'Hare International",2205,6081,6,163,984,9260,19,20707
PDX,"Portland, OR: Portland International",263,209,13,26,60,690,7,3558
PHL,"Philadelphia, PA: Philadelphia International",518,728,0,44,165,1572,7,6901
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",874,1107,13,61,177,2689,11,10775
SAN,"San Diego, CA: San Diego International",416,302,4,38,65,1100,9,5451
SEA,"Seattle, WA: Seattle/Tacoma International",534,411,21,26,112,1334,10,6558
SFO,"San Francisco, CA: San Francisco International",388,1447,12,53,205,2366,11,7445
SLC,"Salt Lake City, UT: Salt Lake City International",492,737,31,163,193,2237,7,8348
TPA,"Tampa, FL: Tampa International",437,468,4,36,11,1250,10,4441
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",912,3195,7,227,255,5408,33,29114
BOS,"Boston, MA: Logan International",578,983,6,35,263,1974,5,8679
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",589,406,7,16,44,1440,0,7413
CLT,"Charlotte, NC: Charlotte Douglas International",437,402,0,12,81,1074,2,7982
DCA,"Washington, DC: Ronald Reagan Washington National",296,428,1,41,105,1089,3,6732
DEN,"Denver, CO: Denver International",412,453,9,39,80,1439,6,11354
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",943,1477,12,161,401,3370,78,25536
DTW,"Detroit, MI: Detroit Metro Wayne County",504,1159,3,58,160,2227,12,10208
EWR,"Newark, NJ: Newark Liberty International",622,2555,10,104,376,3629,48,9666
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",377,490,7,29,23,1222,7,4819
IAD,"Washington, DC: Washington Dulles International",462,390,6,11,120,1090,1,7584
IAH,"Houston, TX: George Bush Intercontinental/Houston",611,1720,17,75,72,2856,12,14366
JFK,"New York, NY: John F. Kennedy International",350,828,16,23,69,1552,19,5415
LAS,"Las Vegas, NV: McCarran International",929,730,8,56,84,2281,12,11069
LAX,"Los Angeles, CA: Los Angeles International",877,744,11,104,228,2556,9,16704
LGA,"New York, NY: LaGuardia",464,1394,1,127,368,2375,84,8095
MCO,"Orlando, FL: Orlando International",490,433,12,43,14,1410,5,7698
MDW,"Chicago, IL: Chicago Midway International",529,612,7,36,90,1426,18,6278
MIA,"Miami, FL: Miami International",216,359,6,33,14,874,9,4894
MSP,"Minneapolis, MN: Minneapolis-St Paul International",527,1393,10,60,209,2521,28,10126
ORD,"Chicago, IL: Chicago O'Hare International",2491,7894,8,180,1085,11414,42,20676
PDX,"Portland, OR: Portland International",265,210,5,12,62,697,4,3988
PHL,"Philadelphia, PA: Philadelphia International",542,1116,1,34,125,1990,16,7144
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",817,662,7,44,138,2143,24,12405
SAN,"San Diego, CA: San Diego International",392,302,3,38,59,1091,15,6038
SEA,"Seattle, WA: Seattle/Tacoma International",554,591,14,27,77,1611,7,7088
SFO,"San Francisco, CA: San Francisco International",364,794,5,53,117,1652,16,9228
SLC,"Salt Lake City, UT: Salt Lake City International",325,362,13,39,79,1240,3,10224
TPA,"Tampa, FL: Tampa International",385,252,3,18,10,947,2,5291
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",924,3550,14,209,264,5704,29,28029
BOS,"Boston, MA: Logan International",529,753,1,21,106,1704,3,9002
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",648,398,6,34,20,1448,4,7218
CLT,"Charlotte, NC: Charlotte Douglas International",388,467,0,14,42,1105,7,7699
DCA,"Washington, DC: Ronald Reagan Washington National",285,383,3,47,62,1013,7,6609
DEN,"Denver, CO: Denver International",364,523,7,52,74,1435,19,10998
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",777,1396,11,217,249,3096,28,25220
DTW,"Detroit, MI: Detroit Metro Wayne County",383,768,8,54,117,1637,8,10632
EWR,"Newark, NJ: Newark Liberty International",655,2336,10,108,142,3463,14,9604
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",374,617,7,22,6,1330,10,4561
IAD,"Washington, DC: Washington Dulles International",430,663,0,19,68,1339,11,7316
IAH,"Houston, TX: George Bush Intercontinental/Houston",660,1629,12,92,92,2807,55,13712
JFK,"New York, NY: John F. Kennedy International",297,819,16,28,29,1513,19,5683
LAS,"Las Vegas, NV: McCarran International",875,847,10,74,63,2335,11,10471
LAX,"Los Angeles, CA: Los Angeles International",813,802,11,53,113,2460,18,16362
LGA,"New York, NY: LaGuardia",451,1385,1,118,174,2277,23,8222
MCO,"Orlando, FL: Orlando International",513,684,4,43,7,1664,10,7272
MDW,"Chicago, IL: Chicago Midway International",479,412,7,15,34,1150,2,6402
MIA,"Miami, FL: Miami International",160,464,0,20,11,868,16,4639
MSP,"Minneapolis, MN: Minneapolis-St Paul International",300,802,8,84,128,1574,42,10359
ORD,"Chicago, IL: Chicago O'Hare International",1483,5346,2,129,456,7690,17,23928
PDX,"Portland, OR: Portland International",233,157,4,8,45,587,2,3978
PHL,"Philadelphia, PA: Philadelphia International",448,1138,0,33,65,1935,12,7037
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",782,607,9,43,150,1991,20,11957
SAN,"San Diego, CA: San Diego International",377,250,5,28,40,1019,28,5870
SEA,"Seattle, WA: Seattle/Tacoma International",489,337,11,17,48,1187,16,7402
SFO,"San Francisco, CA: San Francisco International",293,773,9,27,73,1496,5,9183
SLC,"Salt Lake City, UT: Salt Lake City International",284,628,17,52,79,1527,3,9463
TPA,"Tampa, FL: Tampa International",348,333,3,18,4,958,3,4900
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1515,5402,2,556,457,8802,72,25565
BOS,"Boston, MA: Logan International",662,1295,4,91,225,2489,9,8262
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",795,730,7,114,49,2037,37,6779
CLT,"Charlotte, NC: Charlotte Douglas International",424,556,1,48,80,1291,7,7479
DCA,"Washington, DC: Ronald Reagan Washington National",328,713,2,113,138,1476,25,5976
DEN,"Denver, CO: Denver International",525,774,3,79,106,2012,49,10653
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",930,1724,2,239,490,3820,113,25044
DTW,"Detroit, MI: Detroit Metro Wayne County",550,1094,3,201,269,2345,62,9629
EWR,"Newark, NJ: Newark Liberty International",792,2548,6,144,339,3872,53,8734
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",420,369,2,47,10,1114,3,4283
IAD,"Washington, DC: Washington Dulles International",726,737,0,47,162,1769,36,7023
IAH,"Houston, TX: George Bush Intercontinental/Houston",836,1488,9,133,390,3014,173,13661
