Airport_Code,Airport_Name,Late_Aircraft,Delays_NAS,Delays_Security,Delays_Weather,Flights_Cancelled,Flights_Delayed,Flights_Diverted,Flights_OnTime
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1294,842,14,115,250,3593,59,14505
SAN,"San Diego, CA: San Diego International",672,406,7,55,78,1790,36,6269
SEA,"Seattle, WA: Seattle/Tacoma International",1177,608,8,81,81,2712,8,7412
SFO,"San Francisco, CA: San Francisco International",947,594,8,76,178,2561,6,8880
SLC,"Salt Lake City, UT: Salt Lake City International",653,334,10,69,109,1799,13,10926
TPA,"Tampa, FL: Tampa International",627,467,1,50,18,1611,35,4519
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2459,4152,37,562,765,9726,205,24580
BOS,"Boston, MA: Logan International",755,1250,18,132,263,2813,4,8388
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",786,412,28,88,89,1781,22,7623
CLT,"Charlotte, NC: Charlotte Douglas International",722,807,11,79,151,2356,44,7304
DCA,"Washington, DC: Ronald Reagan Washington National",442,593,10,85,228,1543,4,6292
DEN,"Denver, CO: Denver International",1343,976,21,161,179,3708,40,17571
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1772,1555,94,232,521,4699,178,20796
DTW,"Detroit, MI: Detroit Metro Wayne County",695,809,53,93,130,2330,6,8798
EWR,"Newark, NJ: Newark Liberty International",1138,2615,44,116,299,4385,75,9189
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",398,354,24,38,176,1145,5,4031
IAD,"Washington, DC: Washington Dulles International",760,348,13,73,181,1750,9,6390
IAH,"Houston, TX: George Bush Intercontinental/Houston",1267,1098,74,74,94,3143,122,16420
JFK,"New York, NY: John F. Kennedy International",814,1277,44,153,137,2862,37,6952
LAS,"Las Vegas, NV: McCarran International",1495,826,71,84,119,3317,12,12727
LAX,"Los Angeles, CA: Los Angeles International",1512,1688,73,127,260,4953,27,15477
LGA,"New York, NY: LaGuardia",653,1726,11,171,356,3130,69,7536
MCO,"Orlando, FL: Orlando International",727,565,35,57,156,1940,10,7862
MDW,"Chicago, IL: Chicago Midway International",817,402,36,73,105,1747,44,7072
MIA,"Miami, FL: Miami International",382,488,39,66,210,1331,19,3969
MSP,"Minneapolis, MN: Minneapolis-St Paul International",605,686,59,105,108,2167,32,9013
ORD,"Chicago, IL: Chicago O'Hare International",2995,4002,64,235,935,8769,97,22537
PDX,"Portland, OR: Portland International",450,280,23,28,17,1128,3,4163
PHL,"Philadelphia, PA: Philadelphia International",684,1070,13,93,128,2404,28,6807
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1219,848,83,107,254,3373,47,14816
SAN,"San Diego, CA: San Diego International",593,350,26,40,63,1633,15,6520
SEA,"Seattle, WA: Seattle/Tacoma International",1108,792,49,64,63,2771,10,7443
SFO,"San Francisco, CA: San Francisco International",994,1147,31,80,162,3212,10,8466
SLC,"Salt Lake City, UT: Salt Lake City International",655,380,33,52,79,1742,7,11114
TPA,"Tampa, FL: Tampa International",524,356,18,39,45,1323,8,4846
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2477,6941,6,509,822,11991,75,20039
BOS,"Boston, MA: Logan International",696,1108,3,131,245,2507,6,7924
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",679,352,4,74,79,1458,7,7420
CLT,"Charlotte, NC: Charlotte Douglas International",689,875,1,48,128,2202,4,7433
DCA,"Washington, DC: Ronald Reagan Washington National",470,604,0,73,193,1567,15,5739
DEN,"Denver, CO: Denver International",1220,1130,17,117,221,3547,46,15754
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1553,1533,5,228,637,4262,217,19711
DTW,"Detroit, MI: Detroit Metro Wayne County",663,1305,10,121,239,2683,12,8101
EWR,"Newark, NJ: Newark Liberty International",707,2521,4,96,218,3647,42,8607
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",336,413,2,21,27,1015,9,3753
IAD,"Washington, DC: Washington Dulles International",719,384,4,32,173,1640,17,5914
IAH,"Houston, TX: George Bush Intercontinental/Houston",706,914,10,63,81,2161,50,15358
JFK,"New York, NY: John F. Kennedy International",624,1450,7,154,173,2767,29,6672
LAS,"Las Vegas, NV: McCarran International",1245,1258,9,71,117,3244,18,11968
LAX,"Los Angeles, CA: Los Angeles International",1258,1518,24,85,292,4168,15,14791
LGA,"New York, NY: LaGuardia",693,1733,2,161,298,3084,23,6832
MCO,"Orlando, FL: Orlando International",575,577,4,37,72,1580,11,7293
MDW,"Chicago, IL: Chicago Midway International",619,647,6,116,86,1651,14,6448
MIA,"Miami, FL: Miami International",371,497,4,45,90,1217,27,3681
MSP,"Minneapolis, MN: Minneapolis-St Paul International",568,848,16,78,144,2034,6,8235
ORD,"Chicago, IL: Chicago O'Hare International",2404,5143,3,174,1228,9052,95,20393
PDX,"Portland, OR: Portland International",341,228,2,12,25,837,1,4002
PHL,"Philadelphia, PA: Philadelphia International",624,1511,0,132,157,2680,23,5910
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",911,1028,15,66,201,2905,20,14391
SAN,"San Diego, CA: San Diego International",462,441,9,35,73,1391,10,6119
SEA,"Seattle, WA: Seattle/Tacoma International",651,572,9,26,74,1760,8,7160
SFO,"San Francisco, CA: San Francisco International",721,995,9,41,194,2472,12,8143
SLC,"Salt Lake City, UT: Salt Lake City International",574,399,29,68,77,1650,14,10043
TPA,"Tampa, FL: Tampa International",444,429,4,21,30,1158,34,4609
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3267,7054,13,510,767,13124,24,20777
BOS,"Boston, MA: Logan International",856,1427,1,156,217,3015,5,8161
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",713,396,5,42,85,1582,1,7773
CLT,"Charlotte, NC: Charlotte Douglas International",859,1081,1,44,132,2646,3,7571
DCA,"Washington, DC: Ronald Reagan Washington National",565,827,3,56,152,1928,7,5853
DEN,"Denver, CO: Denver International",1364,1514,20,91,317,4163,5,15450
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1908,2000,13,298,364,5151,65,20133
DTW,"Detroit, MI: Detroit Metro Wayne County",914,1786,9,152,351,3574,27,7639
EWR,"Newark, NJ: Newark Liberty International",1074,3091,4,129,366,4679,63,8360
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",403,344,4,15,29,1037,5,4128
IAD,"Washington, DC: Washington Dulles International",802,512,5,64,150,1865,10,6426
IAH,"Houston, TX: George Bush Intercontinental/Houston",1250,2467,10,128,488,4572,289,13704
JFK,"New York, NY: John F. Kennedy International",745,1366,12,194,157,2863,15,7261
LAS,"Las Vegas, NV: McCarran International",1426,1715,16,78,140,4069,43,11657
LAX,"Los Angeles, CA: Los Angeles International",1532,1952,22,88,318,5049,23,14584
LGA,"New York, NY: LaGuardia",819,2484,3,178,319,3967,35,6468
MCO,"Orlando, FL: Orlando International",643,490,4,39,54,1675,9,7858
